score,s0,s1,seed,spawn,marsh_n,marsh_d,paper4_n,paper_d,head_d,head,coal_n,coal_d,clay_d,gravel_d
1216.7958845649987,491.0,725.7958845649987,-5142071417379466060,"-144,31",32,133,1,81,,,0,,82,11
1219.8873657637794,416.0,803.8873657637794,4479045542376981837,"0,0",0,,1,143,149,Stone Axe Head,0,,25,11
1220.2384433599168,442.0,778.2384433599167,1227353263463982117,"0,0",0,,1,144,122,Stone Shovel Head,0,,25,11
1225.9607917626493,538.0,687.9607917626493,7739956444760326030,"3,10",0,,1,87,89,Flint Shovel Head,30,147,77,5
1229.2617071584446,513.0,716.2617071584446,3433338193152391060,"192,-24",4,84,0,,120,Flint Axe Head,0,,54,8
1229.875784199429,500.0,729.8757841994291,-5478881709433500336,"-226,-854",0,,1,132,86,Bone Axe Head,23,88,60,6
1231.5789748033626,437.0,794.5789748033626,2029157476104879949,"-33,39",0,,2,115,168,Stone Shovel Head,14,224,78,7
1232.2188159873047,488.0,744.2188159873047,7458012835925679142,"-24,60",0,,5,105,128,Obsidian Axe Head,22,276,36,4
1233.2556343204108,539.0,694.2556343204108,-2909148687159296604,"35,-16",0,,3,89,93,Bone Shovel Head,11,71,165,9
1234.0836972715103,409.0,825.0836972715103,153527894959732801,"-50,-30",1,217,0,,96,Flint Shovel Head,0,,85,8
1235.057174068386,468.0,767.0571740683861,5751453334235306829,"-8,-71",0,,1,129,126,Bone Shovel Head,32,79,152,1
1238.330337643726,470.0,768.3303376437259,-1477329567528073965,"-16,39",0,,1,123,133,Bone Shovel Head,0,,93,8
1238.3952349999242,482.0,756.3952349999242,-6815204040069315641,"13,13",0,,1,118,126,Stone Axe Head,0,,86,7
1239.7449100771653,449.0,790.7449100771653,8350128760507818601,"29,-25",0,,1,152,127,Bone Axe Head,0,,27,5
1240.2934954166908,471.0,769.2934954166908,3500156834605080178,"1,88",0,,1,142,115,Flint Shovel Head,0,,134,7
1244.639752276233,503.0,741.6397522762329,6029744164546782077,"-13,55",28,92,1,137,,,0,,102,5
1252.3288287465668,517.0,735.3288287465668,-5612076186000644773,"-41,-76",0,,1,100,123,Flint Shovel Head,0,,,4
1255.7060108229057,548.0,707.7060108229057,6745826435029570900,"0,0",58,87,1,109,,,0,,91,11
1256.703045065353,462.0,794.7030450653531,748940052060137639,"-18,-8",0,,3,133,150,Bone Shovel Head,10,169,49,6
1258.3744753951278,512.0,746.3744753951278,4465949004344629043,"39,-59",0,,1,114,121,Bone Axe Head,0,,92,3
1260.7895371080112,543.0,717.7895371080114,-5490486020566111161,"-52,-256",7,108,0,,98,Flint Shovel Head,0,,98,9
1262.652331409452,590.0,672.6523314094521,-5797597378729708907,"-122,-50",0,,4,85,76,Flint Shovel Head,18,195,76,6
1263.9760753861422,445.0,818.9760753861422,8821097426895840322,"-82,-43",9,208,1,99,,,0,,26,7
1265.8438362282272,478.0,787.8438362282271,2803699522908492652,"122,-3",26,221,0,,55,Stone Axe Head,0,,25,5
1267.5738296421318,479.0,788.5738296421318,-5075564149546654125,"-45,-70",0,,1,164,112,Stone Shovel Head,0,,50,5
1271.2708686345277,635.0,636.2708686345276,-8891576471839021445,"-99,85",0,,1,35,89,Stone Shovel Head,0,,83,6
1276.3232341380346,509.0,767.3232341380346,-8218977159935493465,"150,182",6,82,0,,173,Flint Axe Head,0,,23,3
1279.0960505341025,450.0,829.0960505341025,6949704516496952894,"13,8",0,,1,164,153,Stone Shovel Head,0,,34,5
1280.5188521212813,544.0,736.5188521212813,6082160037261116567,"2,-94",0,,1,85,139,Stone Shovel Head,0,,72,8
1281.5428740842117,582.0,699.5428740842117,-3040199924479239608,"-175,383",24,42,1,145,,,0,,161,10
1282.7331744530302,540.0,742.7331744530303,-5601291463151005790,"-41,11",0,,2,139,92,Bone Axe Head,21,73,120,3
1291.0064687769936,469.0,822.0064687769936,-5039506151781618933,"-194,-1",0,,1,163,147,Flint Shovel Head,25,92,56,9
1297.4601690776092,550.0,747.4601690776092,4553096813429399284,"-25,-27",0,,5,131,104,Flint Shovel Head,8,119,72,3
1299.4539707130962,526.0,773.4539707130963,-904661996717446652,"-256,-268",0,,1,138,123,Stone Axe Head,0,,303,9
1301.8532067740728,559.0,742.8532067740728,2166409800422967119,"59,-12",0,,1,154,77,Bone Axe Head,9,173,62,5
1302.495297524833,582.0,720.495297524833,-5507678553992361887,"140,-119",0,,2,120,88,Bone Axe Head,13,122,95,4
1314.2325215283195,525.0,789.2325215283194,-5165688187490199752,"-12,32",0,,1,152,125,Bone Shovel Head,15,139,192,9
1319.4546258974044,552.0,767.4546258974044,5370852702176510847,"-182,-3",0,,5,149,106,Stone Axe Head,17,262,,5
1319.8512666551173,469.0,850.8512666551173,-8939093304661725123,"-139,-34",0,,3,111,228,Iron Shovel Head,0,,36,7
1320.5168996942407,518.0,802.5168996942406,-5943417728644943031,"53,20",0,,4,146,144,Flint Shovel Head,54,216,29,5
1323.310287772712,558.0,765.310287772712,-2428582662416276296,"98,32",0,,1,108,145,Flint Shovel Head,0,,124,10
1331.727901187773,551.0,780.7279011877731,7162114718531755362,"-18,-40",0,,1,146,123,Bone Shovel Head,0,,56,6
1333.2503529013866,527.0,806.2503529013866,8206108270584286854,"-10,51",0,,1,179,115,Bone Shovel Head,0,,79,5
1334.3242677375351,562.0,772.3242677375353,-6287110162689014527,"91,158",0,,1,149,112,Bone Shovel Head,0,,134,7
1335.9881328740983,490.0,845.9881328740983,8426623706747645497,"-39,-19",10,215,1,119,,,0,,43,5
1337.3874025446166,468.0,869.3874025446167,6683288242803451675,"-3,48",0,,3,194,163,Flint Axe Head,20,207,247,9
1342.0432743964814,559.0,783.0432743964814,5078740414195711635,"91,64",43,113,0,,158,Bone Shovel Head,16,137,78,9
1351.5340168216321,243.0,1108.5340168216321,3194073889762603521,"17,-16",0,,1,85,,,0,,61,11
1351.8790823442177,615.0,736.8790823442177,6214803898613065187,"45,-1",17,16,1,208,,,0,,192,9
1354.9753755145646,557.0,797.9753755145646,-7099857357146132201,"6,73",0,,1,165,121,Flint Shovel Head,11,157,153,2
1362.7949490842034,596.0,766.7949490842035,-4516679457974378551,"-1,40",0,,1,115,140,Stone Axe Head,0,,142,7
1367.9833623385998,591.0,776.9833623385997,-1353332621595608648,"-33,125",0,,4,134,131,Bone Shovel Head,68,198,185,9
1371.9610574673234,591.0,780.9610574673235,2724182220013006407,"41,-8",0,,1,151,118,Flint Axe Head,0,,230,1
1377.5770481855423,613.0,764.5770481855423,-7950733840685719063,"47,-69",23,96,1,156,,,8,93,61,8
1378.0084739677277,295.0,1083.0084739677277,-5835960469952199631,"78,142",0,,1,59,,,0,,257,8
1382.0105228437951,379.0,1003.010522843795,6277963337292823706,"36,-33",0,,1,255,236,Stone Shovel Head,0,,22,8
1382.4350670755316,523.0,859.4350670755315,3297040695482427992,"-20,-55",0,,1,107,241,Bone Shovel Head,0,,76,4
1383.7614046441236,619.0,764.7614046441236,-7371735304568086272,"106,22",0,,1,134,119,Stone Shovel Head,0,,100,3
